season,game_date,game_pk,market,side,home_team,away_team,bet_odds_timestamp,bet_snapshot_source,bet_price,wager_price,selected_open_price
2024,2024-04-24,745188,ML,HOME,St. Louis Cardinals,Arizona Diamondbacks,2024-04-24 12:00:00+00:00,HistoricalBasic,100.0,100.0,100.0
2024,2024-04-24,745346,ML,AWAY,San Francisco Giants,New York Mets,2024-04-24 12:00:00+00:00,HistoricalBasic,108.0,108.0,108.0
2024,2024-04-26,745835,ML,HOME,New York Mets,St. Louis Cardinals,2024-04-26 12:00:00+00:00,HistoricalBasic,-118.0,-118.0,-118.0
2024,2024-04-27,746245,ML,AWAY,Los Angeles Angels,Minnesota Twins,2024-04-27 12:00:00+00:00,HistoricalBasic,108.0,108.0,108.0
2024,2024-05-01,745996,ML,HOME,Milwaukee Brewers,Tampa Bay Rays,2024-05-01 12:00:00+00:00,HistoricalBasic,108.0,108.0,108.0
2024,2024-05-02,747044,ML,HOME,Baltimore Orioles,New York Yankees,2024-05-02 12:00:00+00:00,HistoricalBasic,124.0,124.0,124.0
2024,2024-05-04,745100,ML,AWAY,Tampa Bay Rays,New York Mets,2024-05-04 12:00:00+00:00,HistoricalBasic,102.0,102.0,102.0
2024,2024-05-04,745666,ML,HOME,Oakland Athletics,Miami Marlins,2024-05-04 12:00:00+00:00,HistoricalBasic,100.0,100.0,100.0
2024,2024-05-05,745103,ML,AWAY,Tampa Bay Rays,New York Mets,2024-05-05 12:00:00+00:00,HistoricalBasic,104.0,104.0,104.0
2024,2024-05-05,746643,ML,HOME,Cleveland Guardians,Los Angeles Angels,2024-05-05 12:00:00+00:00,HistoricalBasic,-134.0,-134.0,-134.0
2024,2024-05-07,745586,ML,AWAY,Philadelphia Phillies,Toronto Blue Jays,2024-05-07 12:00:00+00:00,HistoricalBasic,112.0,112.0,112.0
2024,2024-05-08,746717,ML,HOME,Cincinnati Reds,Arizona Diamondbacks,2024-05-08 12:00:00+00:00,HistoricalBasic,106.0,106.0,106.0
2024,2024-05-09,745995,ML,AWAY,Milwaukee Brewers,St. Louis Cardinals,2024-05-09 12:00:00+00:00,HistoricalBasic,102.0,102.0,102.0
2024,2024-05-10,746801,ML,HOME,Chicago White Sox,Cleveland Guardians,2024-05-10 12:00:00+00:00,HistoricalBasic,118.0,118.0,118.0
2024,2024-05-11,745505,ML,AWAY,Pittsburgh Pirates,Chicago Cubs,2024-05-11 12:00:00+00:00,HistoricalBasic,100.0,100.0,100.0
2024,2024-05-11,745096,ML,HOME,Tampa Bay Rays,New York Yankees,2024-05-11 12:00:00+00:00,HistoricalBasic,108.0,108.0,108.0
2024,2024-05-12,745825,ML,HOME,New York Mets,Atlanta Braves,2024-05-12 12:00:00+00:00,HistoricalBasic,102.0,102.0,102.0
2024,2024-05-13,745826,ML,HOME,New York Mets,Philadelphia Phillies,2024-05-13 12:00:00+00:00,HistoricalBasic,110.0,110.0,110.0
2024,2024-05-14,745909,ML,HOME,Minnesota Twins,New York Yankees,2024-05-14 12:00:00+00:00,HistoricalBasic,122.0,122.0,122.0
2024,2024-05-15,745582,ML,AWAY,Philadelphia Phillies,New York Mets,2024-05-15 12:00:00+00:00,HistoricalBasic,146.0,146.0,146.0
