season,game_date,game_pk,market,side,home_team,away_team,close_odds_timestamp,closing_snapshot_source,game_start_time_utc,clv_locked_before_game,close_line,selected_close_price,closing_total,clv_price_delta,clv_implied_probability_delta,clv_result
2024,2024-06-16,745242,OU,OVER,Seattle Mariners,Texas Rangers,2024-06-16 23:55:00+00:00,HistoricalBasic,2024-06-16 23:59:00+00:00,True,7.0,-102.0,7.0,0.0,,PUSH
2024,2024-06-17,747108,OU,OVER,Atlanta Braves,Detroit Tigers,2024-06-17 23:55:00+00:00,HistoricalBasic,2024-06-17 23:59:00+00:00,True,5.5,-132.0,5.5,-2.5,,LOSS
2024,2024-06-20,745645,OU,OVER,Oakland Athletics,Kansas City Royals,2024-06-20 23:55:00+00:00,HistoricalBasic,2024-06-20 23:59:00+00:00,True,7.5,-108.0,7.5,0.0,,PUSH
2024,2024-06-24,746218,OU,OVER,Los Angeles Angels,Oakland Athletics,2024-06-24 23:55:00+00:00,HistoricalBasic,2024-06-24 23:59:00+00:00,True,9.0,-106.0,9.0,0.5,,WIN
2024,2024-06-25,746775,OU,UNDER,Chicago White Sox,Los Angeles Dodgers,2024-06-25 23:55:00+00:00,HistoricalBasic,2024-06-25 23:59:00+00:00,True,9.5,-122.0,9.5,-0.0,,PUSH
2024,2024-06-28,745319,OU,OVER,San Francisco Giants,Los Angeles Dodgers,2024-06-28 23:55:00+00:00,HistoricalBasic,2024-06-28 23:59:00+00:00,True,6.5,-120.0,6.5,-0.5,,LOSS
2024,2024-06-30,745243,OU,OVER,Seattle Mariners,Minnesota Twins,2024-06-30 23:55:00+00:00,HistoricalBasic,2024-06-30 23:59:00+00:00,True,6.5,-122.0,6.5,-1.0,,LOSS
2024,2024-07-02,745647,OU,OVER,Oakland Athletics,Los Angeles Angels,2024-07-02 23:55:00+00:00,HistoricalBasic,2024-07-02 23:59:00+00:00,True,7.5,-122.0,7.5,0.0,,PUSH
2024,2024-07-05,745479,OU,OVER,Pittsburgh Pirates,New York Mets,2024-07-05 23:55:00+00:00,HistoricalBasic,2024-07-05 23:59:00+00:00,True,6.5,-144.0,6.5,-1.0,,LOSS
2024,2024-07-05,745639,OU,OVER,Oakland Athletics,Baltimore Orioles,2024-07-05 23:55:00+00:00,HistoricalBasic,2024-07-05 23:59:00+00:00,True,8.5,-110.0,8.5,1.0,,WIN
2024,2024-07-07,746122,OU,UNDER,Los Angeles Dodgers,Milwaukee Brewers,2024-07-07 23:55:00+00:00,HistoricalBasic,2024-07-07 23:59:00+00:00,True,9.5,-124.0,9.5,0.5,,WIN
2024,2024-07-08,746692,OU,UNDER,Cincinnati Reds,Colorado Rockies,2024-07-08 23:55:00+00:00,HistoricalBasic,2024-07-08 23:59:00+00:00,True,9.5,-124.0,9.5,-0.0,,PUSH
2024,2024-07-09,745316,OU,OVER,San Francisco Giants,Toronto Blue Jays,2024-07-09 23:55:00+00:00,HistoricalBasic,2024-07-09 23:59:00+00:00,True,7.5,100.0,7.5,0.0,,PUSH
2024,2024-07-19,746618,OU,OVER,Cleveland Guardians,San Diego Padres,2024-07-19 23:55:00+00:00,HistoricalBasic,2024-07-19 23:59:00+00:00,True,7.5,-115.0,7.5,0.0,,PUSH
2024,2024-07-20,745880,OU,OVER,Minnesota Twins,Milwaukee Brewers,2024-07-20 23:55:00+00:00,HistoricalBasic,2024-07-20 23:59:00+00:00,True,7.5,-112.0,7.5,0.0,,PUSH
2024,2024-07-20,745638,OU,OVER,Oakland Athletics,Los Angeles Angels,2024-07-20 23:55:00+00:00,HistoricalBasic,2024-07-20 23:59:00+00:00,True,9.0,-104.0,9.0,1.0,,WIN
2024,2024-08-06,746519,OU,UNDER,Colorado Rockies,New York Mets,2024-08-06 23:55:00+00:00,HistoricalBasic,2024-08-06 23:59:00+00:00,True,11.5,-128.0,11.5,-0.0,,PUSH
2024,2024-08-07,745469,OU,OVER,Pittsburgh Pirates,San Diego Padres,2024-08-07 23:55:00+00:00,HistoricalBasic,2024-08-07 23:59:00+00:00,True,7.5,-108.0,7.5,0.0,,PUSH
2024,2024-08-11,745216,OU,OVER,Seattle Mariners,New York Mets,2024-08-11 23:55:00+00:00,HistoricalBasic,2024-08-11 23:59:00+00:00,True,7.5,-110.0,7.5,0.5,,WIN
2024,2024-08-14,745301,OU,OVER,San Francisco Giants,Atlanta Braves,2024-08-14 23:55:00+00:00,HistoricalBasic,2024-08-14 23:59:00+00:00,True,7.5,-120.0,7.5,0.0,,PUSH
2024,2024-08-14,746677,OU,UNDER,Cincinnati Reds,St. Louis Cardinals,2024-08-14 23:55:00+00:00,HistoricalBasic,2024-08-14 23:59:00+00:00,True,9.5,-120.0,9.5,-0.0,,PUSH
2024,2024-08-15,745298,OU,OVER,San Francisco Giants,Atlanta Braves,2024-08-15 23:55:00+00:00,HistoricalBasic,2024-08-15 23:59:00+00:00,True,7.0,-115.0,7.0,0.0,,PUSH
2024,2024-08-16,745462,OU,OVER,Pittsburgh Pirates,Seattle Mariners,2024-08-16 23:55:00+00:00,HistoricalBasic,2024-08-16 23:59:00+00:00,True,6.5,-118.0,6.5,0.0,,PUSH
2024,2024-08-17,745463,OU,OVER,Pittsburgh Pirates,Seattle Mariners,2024-08-17 23:55:00+00:00,HistoricalBasic,2024-08-17 23:59:00+00:00,True,8.5,100.0,8.5,1.0,,WIN
2024,2024-08-19,746351,OU,OVER,Houston Astros,Boston Red Sox,2024-08-19 23:55:00+00:00,HistoricalBasic,2024-08-19 23:59:00+00:00,True,8.0,-110.0,8.0,0.5,,WIN
2024,2024-08-20,745295,OU,OVER,San Francisco Giants,Chicago White Sox,2024-08-20 23:55:00+00:00,HistoricalBasic,2024-08-20 23:59:00+00:00,True,7.5,-115.0,7.5,0.0,,PUSH
2024,2024-08-21,745297,OU,OVER,San Francisco Giants,Chicago White Sox,2024-08-21 23:55:00+00:00,HistoricalBasic,2024-08-21 23:59:00+00:00,True,6.5,-120.0,6.5,-0.5,,LOSS
2024,2024-08-21,744812,OU,OVER,Washington Nationals,Colorado Rockies,2024-08-21 23:55:00+00:00,HistoricalBasic,2024-08-21 23:59:00+00:00,True,8.0,-115.0,8.0,-0.5,,LOSS
2024,2024-08-22,745465,OU,OVER,Pittsburgh Pirates,Cincinnati Reds,2024-08-22 23:55:00+00:00,HistoricalBasic,2024-08-22 23:59:00+00:00,True,7.0,-115.0,7.0,0.0,,PUSH
2024,2024-08-26,745458,OU,OVER,Pittsburgh Pirates,Chicago Cubs,2024-08-26 23:55:00+00:00,HistoricalBasic,2024-08-26 23:59:00+00:00,True,8.5,-110.0,8.5,0.5,,WIN
2024,2024-08-29,746670,OU,UNDER,Cincinnati Reds,Oakland Athletics,2024-08-29 23:55:00+00:00,HistoricalBasic,2024-08-29 23:59:00+00:00,True,10.5,-110.0,10.5,-0.5,,LOSS
2024,2024-08-30,746353,OU,OVER,Houston Astros,Kansas City Royals,2024-08-30 23:55:00+00:00,HistoricalBasic,2024-08-30 23:59:00+00:00,True,7.5,-115.0,7.5,0.0,,PUSH
2024,2024-08-31,745296,OU,OVER,San Francisco Giants,Miami Marlins,2024-08-31 23:55:00+00:00,HistoricalBasic,2024-08-31 23:59:00+00:00,True,7.5,-120.0,7.5,0.0,,PUSH
2024,2024-09-01,745292,OU,OVER,San Francisco Giants,Miami Marlins,2024-09-01 23:55:00+00:00,HistoricalBasic,2024-09-01 23:59:00+00:00,True,7.5,100.0,7.5,0.5,,WIN
2024,2024-09-06,746832,OU,OVER,Chicago Cubs,New York Yankees,2024-09-06 23:55:00+00:00,HistoricalBasic,2024-09-06 23:59:00+00:00,True,8.0,-120.0,8.0,1.0,,WIN
2024,2024-09-07,746829,OU,OVER,Chicago Cubs,New York Yankees,2024-09-07 23:55:00+00:00,HistoricalBasic,2024-09-07 23:59:00+00:00,True,7.5,-115.0,7.5,0.5,,WIN
2024,2024-09-07,745456,OU,OVER,Pittsburgh Pirates,Washington Nationals,2024-09-07 23:55:00+00:00,HistoricalBasic,2024-09-07 23:59:00+00:00,True,7.5,-115.0,7.5,-0.5,,LOSS
