season,game_date,game_pk,market,side,home_team,away_team,close_odds_timestamp,closing_snapshot_source,game_start_time_utc,clv_locked_before_game,close_price,selected_close_price,clv_price_delta,clv_implied_probability_delta,clv_result
2025,2025-06-21,777423,ML,AWAY,Philadelphia Phillies,New York Mets,2025-06-21 23:55:00+00:00,HistoricalBasic,2025-06-21 23:59:00+00:00,True,-120.0,-120.0,-220.0,0.045454545454545414,WIN
2025,2025-06-21,777414,ML,HOME,Los Angeles Angels,Houston Astros,2025-06-21 23:55:00+00:00,HistoricalBasic,2025-06-21 23:59:00+00:00,True,-125.0,-125.0,-225.0,0.05555555555555558,WIN
2025,2025-06-22,777409,ML,AWAY,Tampa Bay Rays,Detroit Tigers,2025-06-22 23:55:00+00:00,HistoricalBasic,2025-06-22 23:59:00+00:00,True,-110.0,-110.0,-5.0,0.011614401858304313,WIN
2025,2025-06-22,777396,ML,HOME,San Diego Padres,Kansas City Royals,2025-06-22 23:55:00+00:00,HistoricalBasic,2025-06-22 23:59:00+00:00,True,-120.0,-120.0,-15.0,0.03325942350332589,WIN
2025,2025-06-23,777389,ML,AWAY,New York Mets,Atlanta Braves,2025-06-23 23:55:00+00:00,HistoricalBasic,2025-06-23 23:59:00+00:00,True,-150.0,-150.0,-25.0,0.0444444444444444,WIN
2025,2025-06-25,777361,ML,HOME,Milwaukee Brewers,Pittsburgh Pirates,2025-06-25 23:55:00+00:00,HistoricalBasic,2025-06-25 23:59:00+00:00,True,-110.0,-110.0,-5.0,0.011614401858304313,WIN
2025,2025-06-27,777340,ML,AWAY,Texas Rangers,Seattle Mariners,2025-06-27 23:55:00+00:00,HistoricalBasic,2025-06-27 23:59:00+00:00,True,-118.0,-118.0,-13.0,0.029089281718505222,WIN
2025,2025-06-29,777304,ML,AWAY,Kansas City Royals,Los Angeles Dodgers,2025-06-29 23:55:00+00:00,HistoricalBasic,2025-06-29 23:59:00+00:00,True,-120.0,-120.0,-15.0,0.03325942350332589,WIN
2025,2025-06-30,777299,ML,HOME,Pittsburgh Pirates,St. Louis Cardinals,2025-06-30 23:55:00+00:00,HistoricalBasic,2025-06-30 23:59:00+00:00,True,-110.0,-110.0,-215.0,0.03600464576074336,WIN
2025,2025-07-04,777239,ML,AWAY,San Diego Padres,Texas Rangers,2025-07-04 23:55:00+00:00,HistoricalBasic,2025-07-04 23:59:00+00:00,True,-115.0,-115.0,-215.0,0.03488372093023251,WIN
2025,2025-07-09,777163,ML,AWAY,San Francisco Giants,Philadelphia Phillies,2025-07-09 23:55:00+00:00,HistoricalBasic,2025-07-09 23:59:00+00:00,True,-130.0,-130.0,-255.0,0.12077294685990336,WIN
2025,2025-07-10,777158,ML,AWAY,San Diego Padres,Arizona Diamondbacks,2025-07-10 23:55:00+00:00,HistoricalBasic,2025-07-10 23:59:00+00:00,True,-125.0,-125.0,-240.0,0.09043927648578814,WIN
2025,2025-07-10,777156,ML,AWAY,Athletics,Atlanta Braves,2025-07-10 23:55:00+00:00,HistoricalBasic,2025-07-10 23:59:00+00:00,True,-200.0,-200.0,-70.0,0.10144927536231885,WIN
2025,2025-07-13,777115,ML,HOME,Los Angeles Angels,Arizona Diamondbacks,2025-07-13 23:55:00+00:00,HistoricalBasic,2025-07-13 23:59:00+00:00,True,-130.0,-130.0,-25.0,0.05302226935312826,WIN
2025,2025-07-18,777114,ML,HOME,Atlanta Braves,New York Yankees,2025-07-18 23:55:00+00:00,HistoricalBasic,2025-07-18 23:59:00+00:00,True,-135.0,-135.0,-235.0,0.07446808510638303,WIN
2025,2025-07-18,777098,ML,HOME,Texas Rangers,Detroit Tigers,2025-07-18 23:55:00+00:00,HistoricalBasic,2025-07-18 23:59:00+00:00,True,-115.0,-115.0,-220.0,0.04707884288145203,WIN
2025,2025-07-19,777081,ML,AWAY,Arizona Diamondbacks,St. Louis Cardinals,2025-07-19 23:55:00+00:00,HistoricalBasic,2025-07-19 23:59:00+00:00,True,-135.0,-135.0,-15.0,0.029013539651837617,WIN
2025,2025-07-20,777084,ML,AWAY,Cleveland Guardians,Athletics,2025-07-20 23:55:00+00:00,HistoricalBasic,2025-07-20 23:59:00+00:00,True,-110.0,-110.0,-230.0,0.0692640692640693,WIN
2025,2025-07-20,777077,ML,AWAY,Washington Nationals,San Diego Padres,2025-07-20 23:55:00+00:00,HistoricalBasic,2025-07-20 23:59:00+00:00,True,-125.0,-125.0,-10.0,0.02067183462532307,WIN
2025,2025-07-22,777058,ML,HOME,Atlanta Braves,San Francisco Giants,2025-07-22 23:55:00+00:00,HistoricalBasic,2025-07-22 23:59:00+00:00,True,-120.0,-120.0,-15.0,0.03325942350332589,WIN
2025,2025-07-26,776993,ML,AWAY,Texas Rangers,Atlanta Braves,2025-07-26 23:55:00+00:00,HistoricalBasic,2025-07-26 23:59:00+00:00,True,-110.0,-110.0,-215.0,0.03600464576074336,WIN
2025,2025-07-27,776989,ML,AWAY,Chicago White Sox,Chicago Cubs,2025-07-27 23:55:00+00:00,HistoricalBasic,2025-07-27 23:59:00+00:00,True,-175.0,-175.0,-345.0,0.265993265993266,WIN
2025,2025-07-27,776974,ML,AWAY,San Francisco Giants,New York Mets,2025-07-27 23:55:00+00:00,HistoricalBasic,2025-07-27 23:59:00+00:00,True,-125.0,-125.0,-250.0,0.11111111111111116,WIN
2025,2025-07-30,776929,ML,AWAY,Milwaukee Brewers,Chicago Cubs,2025-07-30 23:55:00+00:00,HistoricalBasic,2025-07-30 23:59:00+00:00,True,-158.0,-158.0,-52.0,0.09783999397907728,WIN
2025,2025-07-30,776931,ML,HOME,San Diego Padres,New York Mets,2025-07-30 23:55:00+00:00,HistoricalBasic,2025-07-30 23:59:00+00:00,True,-118.0,-118.0,-218.0,0.041284403669724745,WIN
2025,2025-07-31,776927,ML,AWAY,New York Yankees,Tampa Bay Rays,2025-07-31 23:55:00+00:00,HistoricalBasic,2025-07-31 23:59:00+00:00,True,-124.0,-124.0,-224.0,0.0535714285714286,WIN
2025,2025-08-01,776906,ML,HOME,San Diego Padres,St. Louis Cardinals,2025-08-01 23:55:00+00:00,HistoricalBasic,2025-08-01 23:59:00+00:00,True,-265.0,-265.0,-123.0,0.1392505377561417,WIN
2025,2025-08-01,776926,ML,HOME,New York Mets,San Francisco Giants,2025-08-01 23:55:00+00:00,HistoricalBasic,2025-08-01 23:59:00+00:00,True,-144.0,-144.0,-24.0,0.04470938897168408,WIN
2025,2025-08-01,776924,ML,HOME,Cleveland Guardians,Minnesota Twins,2025-08-01 23:55:00+00:00,HistoricalBasic,2025-08-01 23:59:00+00:00,True,-186.0,-186.0,-74.0,0.12204776355719749,WIN
2025,2025-08-02,776897,ML,HOME,Seattle Mariners,Texas Rangers,2025-08-02 23:55:00+00:00,HistoricalBasic,2025-08-02 23:59:00+00:00,True,-146.0,-146.0,-44.0,0.08854543990984465,WIN
